co2,co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,cumulative_oil_co2,share_global_co2,share_global_oil_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,population
2.427,0.182,1.718,0.129,-6.76,-0.176,61.61,31.33,0.01,0.02,0.01,0.01,13299016.0
1.379,0.095,0.927,0.064,-43.17,-1.048,62.989,32.257,0.01,0.01,0.01,0.01,14485543.0
1.333,0.084,0.894,0.056,-3.36,-0.046,64.322,33.151,0.01,0.01,0.01,0.01,15816601.0
1.282,0.075,0.86,0.05,-3.86,-0.051,65.604,34.011,0.01,0.01,0.01,0.01,17075728.0
1.23,0.068,0.824,0.046,-3.99,-0.051,66.834,34.835,0.01,0.01,0.01,0.01,18110662.0
1.165,0.062,0.78,0.041,-5.33,-0.066,67.999,35.615,0.0,0.01,0.01,0.01,18853444.0
1.084,0.056,0.728,0.038,-6.94,-0.081,69.083,36.343,0.0,0.01,0.01,0.01,19357126.0
1.029,0.052,0.691,0.035,-5.07,-0.055,70.113,37.035,0.0,0.01,0.01,0.01,19737770.0
0.81,0.04,0.495,0.024,-21.34,-0.22,70.922,37.529,0.0,0.0,0.01,0.01,20170847.0
0.758,0.036,0.498,0.024,-6.4,-0.052,71.68,38.028,0.0,0.0,0.01,0.01,20779957.0
0.798,0.037,0.491,0.023,5.32,0.04,72.478,38.519,0.0,0.0,0.01,0.01,21606992.0
1.052,0.046,0.44,0.02,31.79,0.254,73.529,38.958,0.0,0.0,0.01,0.01,22600774.0
1.186,0.05,0.619,0.026,12.77,0.134,74.715,39.577,0.0,0.01,0.01,0.01,23680871.0
0.889,0.036,0.561,0.023,-25.02,-0.297,75.604,40.138,0.0,0.01,0.01,0.01,24726689.0
1.303,0.051,0.861,0.034,46.57,0.414,76.908,40.999,0.0,0.01,0.01,0.01,25654274.0
1.635,0.062,1.133,0.043,25.48,0.332,78.543,42.132,0.01,0.01,0.01,0.01,26433058.0
2.269,0.084,1.2,0.044,38.72,0.633,80.812,43.332,0.01,0.01,0.01,0.01,27100542.0
4.2,0.152,2.81,0.101,85.12,1.931,85.011,46.143,0.01,0.03,0.01,0.01,27722281.0
6.74,0.237,4.943,0.174,60.49,2.54,91.751,51.085,0.02,0.04,0.01,0.01,28394806.0
8.398,0.288,5.866,0.201,24.6,1.658,100.149,56.952,0.03,0.05,0.01,0.01,29185511.0
12.106,0.402,7.603,0.252,44.15,3.708,112.255,64.554,0.04,0.07,0.01,0.01,30117411.0
10.219,0.328,6.756,0.217,-15.59,-1.887,122.473,71.311,0.03,0.06,0.01,0.01,31161378.0
8.441,0.262,4.782,0.148,-17.4,-1.778,130.914,76.092,0.02,0.04,0.01,0.01,32269592.0
7.774,0.233,3.77,0.113,-7.9,-0.666,138.688,79.863,0.02,0.03,0.01,0.02,33370803.0
7.904,0.23,4.738,0.138,1.67,0.13,146.593,84.6,0.02,0.04,0.01,0.02,34413603.0
6.745,0.191,3.472,0.098,-14.67,-1.16,153.337,88.072,0.02,0.03,0.01,0.02,35383028.0
6.86,0.189,3.067,0.084,1.71,0.115,160.197,91.138,0.02,0.03,0.01,0.02,36296111.0
8.345,0.224,4.146,0.112,21.65,1.485,168.542,95.284,0.02,0.03,0.01,0.02,37171922.0
12.147,0.319,4.272,0.112,45.56,3.802,180.688,99.556,0.03,0.03,0.01,0.02,38041757.0
12.16,0.312,4.277,0.11,0.11,0.014,192.849,103.833,0.03,0.04,0.01,0.02,38928341.0
689.026,1.068,258.828,0.401,4.51,29.731,16619.863,5424.624,2.97,2.67,2.0,1.94,647344041.0
668.677,1.01,257.562,0.389,-2.95,-20.348,17288.54,5682.186,2.96,2.8,2.03,1.97,664512034.0
708.858,1.043,261.882,0.386,6.01,40.181,17997.398,5944.069,3.11,2.85,2.05,2.0,681869333.0
719.623,1.029,256.425,0.367,1.52,10.764,18717.021,6200.493,3.13,2.78,2.08,2.02,699445412.0
771.994,1.077,272.393,0.38,7.28,52.372,19489.015,6472.887,3.29,2.92,2.11,2.05,717270112.0
783.254,1.066,270.637,0.368,1.46,11.26,20272.269,6743.524,3.24,2.82,2.14,2.07,735361106.0
